[2026-04-06 09:09:10] | SYSTEM_START | Rajarata Digital Bank v1.0.0 started
[2026-04-06 09:09:39] | LOGIN_SUCCESS | User logged in: ADMIN-11 (superadmin@rajarata.com) Role: Administrator
[2026-04-06 09:10:17] | LOGOUT | User logged out: ADMIN-11
[2026-04-06 09:17:12] | REGISTRATION | New customer registered: CUST-1001 (testuser@gmail.com)
[2026-04-06 09:17:54] | LOGIN_FAILED | Unknown email: testuser@gmil.com
[2026-04-06 09:18:18] | LOGIN_FAILED | Invalid password for: testuser@gmail.com (Attempts remaining: 2)
[2026-04-06 09:19:53] | PASSWORD_RECOVERY | Password recovered for: CUST-1001
[2026-04-06 09:20:30] | LOGIN_SUCCESS | User logged in: CUST-1001 (testuser@gmail.com) Role: Customer
[2026-04-06 09:24:16] | ACCOUNT_OPENED | Account RDB1001-0001 (Savings) opened for CUST-1001 with initial deposit $25,000.00
[2026-04-06 09:25:08] | ACCOUNT_OPENED | Account RDB1001-0002 (Student) opened for CUST-1001 with initial deposit $1,000.00
[2026-04-06 09:27:30] | SYSTEM_SHUTDOWN | Rajarata Digital Bank shutdown
[2026-04-06 09:27:48] | SYSTEM_START | Rajarata Digital Bank v1.0.0 started
[2026-04-06 09:28:29] | LOGIN_SUCCESS | User logged in: CUST-1001 (testuser@gmail.com) Role: Customer
[2026-04-06 09:31:51] | DEPOSIT | Deposit $2,500.00 to RDB1001-0002
[2026-04-06 09:32:33] | DEPOSIT | Deposit $5,000.00 to RDB1001-0001
[2026-04-06 09:33:20] | WITHDRAWAL | Withdrawal LKR 500.00 from RDB1001-0002
[2026-04-06 09:33:49] | WITHDRAWAL | Withdrawal LKR 3,000.00 from RDB1001-0001
[2026-04-06 09:34:52] | TRANSFER_FAILED | Failed transfer from RDB1001-0001: Insufficient funds for withdrawal
[2026-04-06 09:35:10] | TRANSFER | Transfer LKR 7,000.00 from RDB1001-0001 to RDB1001-0002
[2026-04-06 09:36:38] | ACCOUNT_OPENED | Account RDB1001-0003 (Fixed Deposit) opened for CUST-1001 with initial deposit $5,000.00
[2026-04-06 09:45:02] | SYSTEM_SHUTDOWN | Rajarata Digital Bank shutdown
[2026-04-06 09:47:04] | SYSTEM_START | Rajarata Digital Bank v1.0.0 started
[2026-04-06 09:47:27] | LOGIN_SUCCESS | User logged in: CUST-1001 (testuser@gmail.com) Role: Customer
[2026-04-06 09:54:20] | SYSTEM_SHUTDOWN | Rajarata Digital Bank shutdown
